t,S,I,R
17.751889527967712,541,148,311
17.75425647082691,540,149,311
17.77086570796358,539,150,311
17.771510127516166,539,149,312
17.786301727212937,538,150,312
17.792852543184758,538,149,313
17.798387190584283,538,148,314
17.80065293921478,537,149,314
17.804518531286114,536,150,314
17.816374269536244,535,151,314
17.82695092382491,534,152,314
17.83426607752036,534,151,315
17.836456152104585,533,152,315
17.84241843885004,532,153,315
17.842510631760646,531,154,315
17.84649158713348,531,153,316
17.86862396568247,530,154,316
17.87158179303195,529,155,316
17.885592188929166,529,154,317
17.91777251296137,528,155,317
17.92393353113767,528,154,318
17.92920111296787,528,153,319
17.969432129562758,527,154,319
17.981369403466513,526,155,319
17.981584275482884,526,154,320
17.983462508827106,526,153,321
17.98534979013547,525,154,321
17.994905278961905,524,155,321
17.997936729797285,524,154,322
18.009068604492946,524,153,323
18.03363526168352,523,154,323
18.035669499318566,522,155,323
18.04643532229135,522,154,324
18.133615867704616,521,155,324
18.16616072271115,520,156,324
18.169547786404568,520,155,325
18.173221338270245,520,154,326
18.180384953806765,520,153,327
18.219957006372276,520,152,328
18.22887192634787,519,153,328
18.242807991506048,519,152,329
18.255402237550094,518,153,329
18.29741760986276,517,154,329
18.3020294402589,516,155,329
18.308665275860626,515,156,329
18.342334177570944,515,155,330
18.36639098642332,515,154,331
18.37482960266476,514,155,331
18.386044857749358,513,156,331
18.386058291064053,512,157,331
18.386814236981653,511,158,331
18.399478809683742,510,159,331
18.410799126445916,509,160,331
18.4133971749568,508,161,331
18.41568314540698,508,160,332
18.415963153219575,508,159,333
18.417843609732834,508,158,334
18.427967230223565,508,157,335
18.431469434061505,507,158,335
18.43156541234529,506,159,335
18.435819404071367,506,158,336
18.44986160579734,505,159,336
18.454330159169135,504,160,336
18.46541256669482,503,161,336
18.480836615934,503,160,337
18.4999683035292,503,159,338
18.512326558822114,503,158,339
18.5393141293733,503,157,340
18.553974112226705,502,158,340
18.55586653675331,502,157,341
18.576512863095864,502,156,342
18.59609603985497,501,157,342
18.59951225756744,501,156,343
18.612940714055465,500,157,343
18.61704482907912,499,158,343
18.637902192677377,498,159,343
18.653995081493015,498,158,344
18.66229646904385,497,159,344
18.675715094144092,496,160,344
18.696870330530288,496,159,345
18.708499149107194,495,160,345
18.711837547627646,495,159,346
18.719509906330217,495,158,347
18.736477981566544,494,159,347
18.73802777752619,494,158,348
18.739379166232563,494,157,349
18.748453702520937,493,158,349
18.78049845423003,493,157,350
18.78973253137507,492,158,350
18.80383990837679,491,159,350
18.863737703745276,491,158,351
18.86579155849311,491,157,352
18.869867588348935,490,158,352
18.884960266899867,490,157,353
18.888405476128657,489,158,353
18.914549419796963,488,159,353
18.939493351224648,487,160,353
18.943503079520866,486,161,353
18.99863196735798,486,160,354
19.00120703074983,485,161,354
19.008756693888962,484,162,354
19.019076060278522,483,163,354
19.025125626470263,483,162,355
19.0456874030811,483,161,356
19.0470963537386,482,162,356
19.053166275110247,481,163,356
19.05399693612624,480,164,356
19.061888420918525,479,165,356
19.07101155489783,479,164,357
19.078214960688072,479,163,358
19.098031716455147,478,164,358
19.10327381680248,478,163,359
19.12907654349197,477,164,359
19.133858921600748,476,165,359
19.135336589851715,476,164,360
19.135777725578265,476,163,361
19.136445592150398,476,162,362
19.157873117548174,476,161,363
19.16172195632197,475,162,363
19.16855612242281,475,161,364
19.1692757159296,475,160,365
19.188730989755896,474,161,365
19.22055279983126,474,160,366
19.237853943432814,474,159,367
19.240460807752505,473,160,367
19.244872815005593,473,159,368
19.25413931932971,473,158,369
19.267426215038707,472,159,369
19.279745827880276,471,160,369
19.281383735042844,470,161,369
19.285673427485314,470,160,370
19.294301628211976,469,161,370
19.302350290185608,469,160,371
19.329169121750216,469,159,372
19.335655220188467,469,158,373
19.336255257869837,469,157,374
19.35002520600297,469,156,375
19.358044975468577,469,155,376
19.375444547356306,468,156,376
19.38351959795913,467,157,376
19.393699986814166,466,158,376
19.409230858744547,466,157,377
19.409657204971232,465,158,377
19.429860155458435,465,157,378
19.43156393331627,465,156,379
19.43255195428955,464,157,379
19.463147980208603,463,158,379
19.479661314057495,463,157,380
19.489395954354826,462,158,380
19.491025152644454,462,157,381
19.518209002974267,461,158,381
19.521632537607758,461,157,382
19.522711947934,460,158,382
19.543603952534156,459,159,382
19.594889786854438,459,158,383
19.618074037135976,459,157,384
19.628668930050136,458,158,384
19.637130522323815,457,159,384
19.6508841307942,457,158,385
19.65927121751367,456,159,385
19.676272296888083,456,158,386
19.692227469859695,456,157,387
19.6932465803109,455,158,387
19.70012513514397,454,159,387
19.70962660448207,453,160,387
19.71330432648552,452,161,387
19.728150394534996,451,162,387
19.73032801747443,450,163,387
19.7342137240671,450,162,388
19.73698556684231,449,163,388
19.738729652962373,448,164,388
19.746931766728796,447,165,388
19.78363071946953,447,164,389
19.788411654967664,446,165,389
19.812777862014705,446,164,390
19.828538964507047,445,165,390
19.845013391045768,444,166,390
19.849907581948308,444,165,391
19.899921255366014,443,166,391
19.902395272998564,442,167,391
19.92619813904066,441,168,391
19.949690024371733,440,169,391
19.973681778995317,440,168,392
19.978898011487868,440,167,393
19.98052235540827,440,166,394
19.983127032779638,440,165,395
19.997698030585372,439,166,395
19.999101446420056,439,165,396
20.005514983871997,439,164,397
20.00728445837293,439,163,398
20.010103702356602,439,162,399
20.02238525722414,439,161,400
20.035096818139714,439,160,401
20.04872699468892,439,159,402
20.070630507500198,439,158,403
20.077924080918503,438,159,403
20.079600262051216,438,158,404
20.11024152116413,438,157,405
20.120034241969105,437,158,405
20.13630694510321,436,159,405
20.167178133659803,436,158,406
20.1709243434506,435,159,406
20.174569680131913,434,160,406
20.224077071720608,433,161,406
20.235943221695113,432,162,406
20.249357025403594,431,163,406
20.263791750927094,431,162,407
20.289078726701867,430,163,407
20.291303959602615,430,162,408
20.291953202550918,430,161,409
20.298878650221198,430,160,410
20.33177986162084,429,161,410
20.333854551224494,428,162,410
20.338706913434503,428,161,411
20.342781185069246,428,160,412
20.34401288613349,428,159,413
